10000	8	199093	1.8005705876148332
20000	4	300121	2.4067792656961693
30000	4	409278	2.539877540449279
40000	4	523838	2.760105223370584
50000	4	627175	2.7290437278271615
60000	4	715918	2.7330602108062654
70000	4	800832	2.8618973767282028
80000	4	907441	2.9761703515710662
90000	4	1029012	2.9098902636703947
100000	4	1118734	2.923817457948002
110000	4	1238183	2.8418965532558595
120000	4	1337676	2.9311313053385124
130000	4	1464439	2.869933127975969
140000	4	1570471	2.855985879395417
150000	4	1693408	2.8715330268901527
160000	4	1791066	2.8548071372020907
170000	4	1985434	2.720388590101711
180000	4	1991600	2.9184876481221127
190000	4	2105818	2.921510785832394
200000	4	2232092	2.877251475297613
210000	4	2331156	2.8369808798724754
220000	4	2433241	2.8809706888877837
230000	4	2549705	2.8801598616310513
240000	4	2646378	2.965047699157112
250000	4	2798945	2.8517620031833424
260000	4	2840262	2.8997402352318202
270000	4	2965488	2.8929248744220177
280000	4	3093967	2.8844118246897916
290000	4	3200888	2.8886299676839675
300000	4	3279143	2.8465772916887127
310000	4	3375064	2.9215463766020435
320000	4	3512707	2.980636016610551
330000	4	3634659	2.860918727176332
340000	4	3785281	2.854100131535809
350000	4	3847002	2.8968843790567305
360000	4	4007732	2.9316346502211226
370000	4	4227045	2.7613898125049534
380000	4	4479203	2.7071742450610077
390000	4	4443411	2.831683137121459
400000	4	4570592	2.7446094510295382
410000	4	4686016	2.72280696438083
420000	4	4846729	2.727074486731154
430000	4	4966499	2.6835686466462594
440000	4	5087171	2.680212440273779
450000	4	5167980	2.7601500005804978
460000	4	5214671	2.7680578506295026
470000	4	5442433	2.636401403563443
480000	4	5571874	2.682220918850642
490000	4	5689804	3.0289799086225115
500000	4	5751271	2.700792746507685
510000	4	5914601	2.683455401302641
520000	4	5909151	2.720794408536861
530000	4	6203758	2.744240668317494
540000	4	6344332	2.658477835018722
550000	4	6411225	2.676356234572956
560000	4	6567017	2.6734681819766872
570000	4	6659903	2.8863196656167514
580000	4	6893712	2.639211066548762
590000	4	6751082	2.8057532111149
600000	4	7071274	2.682513363221394
610000	4	6995984	2.721381438265153
620000	4	7979406	2.4159531423767633
630000	4	7294648	2.6678737616948753
640000	4	7393830	2.757866085641677
650000	4	8280549	2.332113365913299
660000	4	7802088	2.635689189868148
670000	4	7840518	2.680493686769165
680000	4	8052196	2.4616938037772553
690000	4	8143795	2.5599571207281127
700000	4	8143974	2.7595635742452025
710000	4	8390454	2.6305403736198305
720000	4	8380962	2.63142739461174
730000	4	8416967	2.701108368370697
740000	4	8692695	2.680536818558571
750000	4	8690297	2.6412298682081867
760000	4	8779175	2.6333588292749606
770000	4	8969202	2.593198034786149
780000	4	9111986	2.6063597990602707
790000	4	9388239	2.624459070545605
800000	4	9366002	2.6962487302479756
810000	4	9459256	2.6927523686852326
820000	4	9608800	2.675480184830572
830000	4	9783508	2.5757668926115254
840000	4	9819170	2.518841918410619
850000	4	10011800	2.657508539922891
860000	4	10022706	2.6467753319313165
870000	4	10018608	2.7283321195918635
880000	4	10234131	2.6927732310637804
890000	4	10812024	2.524490881633263
900000	4	10525312	2.57854094966496
910000	4	10765822	2.606065379866024
920000	4	10876404	2.5994610902647604
930000	4	10835002	2.698638818894542
940000	4	11064581	2.627498049858372
950000	4	11319068	2.6862570310559137
960000	4	11230330	2.6968008954322804
970000	4	11373930	2.5557138122003566
980000	4	11638149	2.643384184203175
990000	4	11677930	2.6422615138128074
