1000000	256	27299714	1.5259398688206038
2000000	32	44356049	1.852611692263213
3000000	16	61533830	1.9991730240097196
4000000	4	88358879	1.8500769345432733
5000000	32	107468678	1.87631807474174
6000000	16	121077056	1.975432380846789
7000000	4	149933333	1.9284090616460852
8000000	8	155462979	2.1052103150551362
9000000	8	230536339	1.6106405767118563
