100	4096	117598	0.2036344155512849
200	1024	79539	0.3763436804586429
300	32	59868	0.6642947818534108
400	4	94078	0.7500053147388337
500	8192	82105	0.5208330795932038
600	4	55592	0.8769247373722838
700	2	49177	1.1913089452386278
800	4	49177	1.365211379303333
900	4	57302	1.291054413458518
1000	16	78256	1.0273205888366388
1100	4	67565	1.151898172130541
1200	4	70559	1.248472909196559
1300	4	67993	1.1446472430985544
1400	4	64572	1.3112494579693985
1500	8	58585	1.5109499018520098
1600	4	73552	1.3139411572764848
1700	8	76973	1.3111090902004598
1800	16	77828	1.379118055198643
1900	128	97072	1.2114512938849513
2000	64	98782	1.225101739183252
2100	8	81250	1.7631384615384615
2200	16	96644	1.407081660527296
2300	2	94933	1.5225264133652154
2400	32	103486	1.40495332702008
2500	2	92795	1.6682041058246673
2600	4	111611	1.4406106924944675
2700	8	107762	1.5317458844490637
2800	2	111183	1.584612755547161
2900	2	104768	1.7061316432498472
3000	32	124439	1.5017237361277413
3100	16	121874	1.585957628370284
3200	8	121446	1.605635426444675
3300	32	131282	1.5472265809478831
3400	16	137696	1.5279528817104346
3500	16	156940	1.5394991716579585
3600	16	145393	1.523532769803223
3700	16	141545	1.6072415132996574
3800	2	135130	1.7943017834677717
3900	4	164208	4.372417908993472
4000	32	502890	1.4523792479468671
4100	2	487495	1.6473686909609329
4200	2	451574	1.6856063458037884
4300	32	493054	1.6036438199466996
4400	32	463120	1.4090494904128519
4500	64	413943	1.6002082412312806
4600	256	390852	1.4420112983942772
4700	32	327990	1.7144730022256776
4800	4	323714	1.8454407285443324
4900	32	329701	1.8145228555570048
5000	32	345523	1.7896030076145437
5100	32	395128	1.571424955963637
5200	4	385292	1.6470572968034634
5300	32	383581	1.6421433804072674
5400	16	371608	1.7410820003875052
5500	16	373746	1.7574395445034863
5600	2	406246	1.6999995076874603
5700	32	409667	1.691022220486395
5800	32	439173	1.6056474327884456
5900	32	457989	1.5723609082314205
6000	8	422923	1.7007091125334872
6100	8	380161	1.9280068181638832
6200	4	499468	1.4580493645238535
6300	32	408812	1.8410027102922615
6400	16	449009	1.716188316937968
6500	16	518712	1.504534308055337
6600	32	463120	1.7036016583174987
6700	8	466113	1.7256888351107993
6800	4	471673	1.731640352532369
6900	4	464831	1.7240093711477935
7000	8	456706	1.8323954579094648
7100	16	536245	1.5637945342147712
7200	32	547362	1.5625015985764448
7300	32	561902	1.5624058999612032
7400	32	439601	1.9922179430893014
7500	8	476804	1.8260102683702317
7600	32	500751	1.7651587315851591
7700	16	483219	1.884071197531554
7800	4	506739	1.8059040255437218
7900	32	536244	1.7177049999627036
8000	4	531113	1.7391289612568324
8100	8	527265	1.781830768209534
8200	2	484501	1.9717585722217292
8300	16	532823	1.802570459608538
8400	8	501606	1.9676060493694254
8500	64	583711	1.7201474702378403
8600	8	533678	1.8846176908173093
8700	32	517001	2.08105980452649
8800	4	550356	1.8251749776508297
8900	2	567034	1.8122158459633815
9000	64	533251	1.9013635229938621
9100	16	631605	1.9952612788055826
9200	32	603382	1.745570799261496
9300	4	525981	2.047155695738059
9400	2	596968	1.791544940432318
9500	8	635454	1.7429349724763712
9600	64	647855	1.702309930462835
9700	8	550356	1.9673665772699853
9800	4	609796	2.7524549193500776
9900	32	879629	1.948468047324497
